seqName,errors,warnings,failedGenes
"EV71/Homo_sapiens/KHM/315/2013","","",""
"EV71/Homo_sapiens/KHM/316/2013","","",""
"EV71/Homo_sapiens/KHM/319/2013","","",""
"EV71/Homo_sapiens/KHM/330/2012","","",""
"EV71/Homo_sapiens/KHM/336/2012","","",""
"EV71/Homo_sapiens/KHM/349/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homo_sapiens/KHM/342/2012","","",""
"EV71/Homo_sapiens/KHM/351/2012","","",""
"EV71/Homo_sapiens/KHM/352/2012","","",""
"EV71/Homo_sapiens/KHM/354/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homo_sapiens/KHM/353/2012","","",""
"EV71/Homo_sapiens/KHM/359/2012","","",""
"EV71/Homo_sapiens/KHM/360/2012","","",""
"EV71/Homo_sapiens/KHM/361/2012","","",""
"EV71/Homo_sapiens/KHM/362/2012","","",""
"EV71/Homo_sapiens/KHM/367/2012","","",""
"EV71/Homo_sapiens/KHM/368/2012","","",""
"EV71/Homo_sapiens/KHM/371/2012","","",""
"EV71/Homo_sapiens/KHM/374/2012","","",""
"EV71/Homo_sapiens/KHM/375/2012","","",""
"EV71/Homo_sapiens/KHM/376/2012","","",""
"EV71/Homo_sapiens/KHM/377/2012","","",""
"EV71/Homo_sapiens/KHM/378/2012","","",""
"EV71/Homo_sapiens/KHM/382/2012","","",""
"EV71/Homo_sapiens/KHM/384/2012","","",""
"EV71/Homo_sapiens/KHM/388/2012","","",""
"EV71/Homo_sapiens/KHM/392/2012","","",""
"EV71/Homo_sapiens/KHM/393/2012","","",""
"EV71/Homo_sapiens/KHM/394/2012","","",""
"EV71/Homo_sapiens/KHM/397/2012","","",""
"EV71/Homo_sapiens/KHM/398/2012","","",""
"EV71/Homo_sapiens/KHM/400/XXXX","","",""
"EV71/Homo_sapiens/VNM/1/2011","","",""
"EV71/Homo_sapiens/VNM/10/2011","","",""
"EV71/Homo_sapiens/VNM/101/2012","","",""
"EV71/Homo_sapiens/VNM/103/2012","","",""
"EV71/Homo_sapiens/VNM/105/2012","","",""
"EV71/Homo_sapiens/VNM/107/2012","","",""
"EV71/Homo_sapiens/VNM/108/2012","","",""
"EV71/Homo_sapiens/VNM/109/2012","","",""
"EV71/Homo_sapiens/VNM/11/2011","","",""
"EV71/Homo_sapiens/VNM/110/2012","","",""
"EV71/Homo_sapiens/VNM/111/2012","","",""
"EV71/Homo_sapiens/VNM/113/2012","","",""
"EV71/Homo_sapiens/VNM/114/2012","","",""
"EV71/Homo_sapiens/VNM/116/2012","","",""
"EV71/Homo_sapiens/VNM/117/2012","","",""
"EV71/Homo_sapiens/VNM/119/2012","","",""
"EV71/Homo_sapiens/VNM/12/2011","","",""
"EV71/Homo_sapiens/VNM/121/2012","","",""
"EV71/Homo_sapiens/VNM/122/2012","","",""
"EV71/Homo_sapiens/VNM/123/2012","","",""
"EV71/Homo_sapiens/VNM/127/2012","","",""
"EV71/Homo_sapiens/VNM/128/2012","","",""
"EV71/Homo_sapiens/VNM/129/2012","","",""
"EV71/Homo_sapiens/VNM/13/2011","","",""
"EV71/Homo_sapiens/VNM/130/2012","","",""
"EV71/Homo_sapiens/VNM/131/2012","","",""
"EV71/Homo_sapiens/VNM/132/2012","","",""
"EV71/Homo_sapiens/VNM/133/2012","","",""
"EV71/Homo_sapiens/VNM/134/2012","","",""
"EV71/Homo_sapiens/VNM/135/2012","","",""
"EV71/Homo_sapiens/VNM/136/2012","","",""
"EV71/Homo_sapiens/VNM/138/2012","","",""
"EV71/Homo_sapiens/VNM/14/2011","","",""
"EV71/Homo_sapiens/VNM/142/2012","","",""
"EV71/Homo_sapiens/VNM/143/2012","","",""
"EV71/Homo_sapiens/VNM/144/2012","","",""
"EV71/Homo_sapiens/VNM/148/2012","","",""
"EV71/Homo_sapiens/VNM/149/2012","","",""
"EV71/Homo_sapiens/VNM/15/2011","","",""
"EV71/Homo_sapiens/VNM/150/2012","","",""
"EV71/Homo_sapiens/VNM/151/2012","","",""
"EV71/Homo_sapiens/VNM/152/2012","","",""
"EV71/Homo_sapiens/VNM/153/2012","","",""
"EV71/Homo_sapiens/VNM/154/2012","","",""
"EV71/Homo_sapiens/VNM/155/2012","","",""
"EV71/Homo_sapiens/VNM/156/2012","","",""
"EV71/Homo_sapiens/VNM/157/2012","","",""
"EV71/Homo_sapiens/VNM/159/2012","","",""
"EV71/Homo_sapiens/VNM/16/2011","","",""
"EV71/Homo_sapiens/VNM/160/2012","","",""
"EV71/Homo_sapiens/VNM/161/2012","","",""
"EV71/Homo_sapiens/VNM/162/2012","","",""
"EV71/Homo_sapiens/VNM/163/2012","","",""
"EV71/Homo_sapiens/VNM/164/2012","","",""
"EV71/Homo_sapiens/VNM/166/2012","","",""
"EV71/Homo_sapiens/VNM/167/2012","","",""
"EV71/Homo_sapiens/VNM/168/2012","","",""
"EV71/Homo_sapiens/VNM/169/2012","","",""
"EV71/Homo_sapiens/VNM/17/2011","","",""
"EV71/Homo_sapiens/VNM/170/2012","","",""
"EV71/Homo_sapiens/VNM/171/2012","","",""
"EV71/Homo_sapiens/VNM/173/2012","","",""
"EV71/Homo_sapiens/VNM/174/2012","","",""
"EV71/Homo_sapiens/VNM/175/2012","","",""
"EV71/Homo_sapiens/VNM/176/2012","","",""
"EV71/Homo_sapiens/VNM/177/2012","","",""
"EV71/Homo_sapiens/VNM/178/2012","","",""
"EV71/Homo_sapiens/VNM/179/2012","","",""
"EV71/Homo_sapiens/VNM/180/2012","","",""
"EV71/Homo_sapiens/VNM/184/2012","","",""
"EV71/Homo_sapiens/VNM/185/2012","","",""
"EV71/Homo_sapiens/VNM/186/2011","","",""
"EV71/Homo_sapiens/VNM/189/2011","","",""
"EV71/Homo_sapiens/VNM/19/2011","","",""
"EV71/Homo_sapiens/VNM/191/2011","","",""
"EV71/Homo_sapiens/VNM/192/2011","","",""
"EV71/Homo_sapiens/VNM/193/2011","","",""
"EV71/Homo_sapiens/VNM/195/2011","","",""
"EV71/Homo_sapiens/VNM/196/2011","","",""
"EV71/Homo_sapiens/VNM/197/2011","","",""
"EV71/Homo_sapiens/VNM/198/2011","","",""
"EV71/Homo_sapiens/VNM/199/2011","","",""
"EV71/Homo_sapiens/VNM/2/2011","","",""
"EV71/Homo_sapiens/VNM/200/2011","","",""
"EV71/Homo_sapiens/VNM/202/2011","","",""
"EV71/Homo_sapiens/VNM/205/2011","","",""
"EV71/Homo_sapiens/VNM/206/2011","","",""
"EV71/Homo_sapiens/VNM/208/2011","","",""
"EV71/Homo_sapiens/VNM/209/2011","","",""
"EV71/Homo_sapiens/VNM/210/2011","","",""
"EV71/Homo_sapiens/VNM/211/2011","","",""
"EV71/Homo_sapiens/VNM/212/2011","","",""
"EV71/Homo_sapiens/VNM/213/2011","","",""
"EV71/Homo_sapiens/VNM/215/2011","","",""
"EV71/Homo_sapiens/VNM/216/2011","","",""
"EV71/Homo_sapiens/VNM/218/2011","","",""
"EV71/Homo_sapiens/VNM/219/2011","","",""
"EV71/Homo_sapiens/VNM/22/2011","","",""
"EV71/Homo_sapiens/VNM/221/2011","","",""
"EV71/Homo_sapiens/VNM/222/2011","","",""
"EV71/Homo_sapiens/VNM/225/2011","","",""
"EV71/Homo_sapiens/VNM/227/2011","","",""
"EV71/Homo_sapiens/VNM/228/2011","","",""
"EV71/Homo_sapiens/VNM/229/2011","","",""
"EV71/Homo_sapiens/VNM/23/2011","","",""
"EV71/Homo_sapiens/VNM/230/2011","","",""
"EV71/Homo_sapiens/VNM/233/2011","","",""
"EV71/Homo_sapiens/VNM/235/2011","","",""
"EV71/Homo_sapiens/VNM/236/2011","","",""
"EV71/Homo_sapiens/VNM/237/2011","","",""
"EV71/Homo_sapiens/VNM/238/2011","","",""
"EV71/Homo_sapiens/VNM/24/2011","","",""
"EV71/Homo_sapiens/VNM/241/2011","","",""
"EV71/Homo_sapiens/VNM/242/2011","","",""
"EV71/Homo_sapiens/VNM/243/2011","","",""
"EV71/Homo_sapiens/VNM/245/2011","","",""
"EV71/Homo_sapiens/VNM/246/2011","","",""
"EV71/Homo_sapiens/VNM/247/2011","","",""
"EV71/Homo_sapiens/VNM/249/2011","","",""
"EV71/Homo_sapiens/VNM/25/2011","","",""
"EV71/Homo_sapiens/VNM/250/2011","","",""
"EV71/Homo_sapiens/VNM/26/2011","","",""
"EV71/Homo_sapiens/VNM/27/2011","","",""
"EV71/Homo_sapiens/VNM/28/2011","","",""
"EV71/Homo_sapiens/VNM/29/2011","","",""
"EV71/Homo_sapiens/VNM/3/2011","","",""
"EV71/Homo_sapiens/VNM/31/2011","","",""
"EV71/Homo_sapiens/VNM/32/2011","","",""
"EV71/Homo_sapiens/VNM/33/2011","","",""
"EV71/Homo_sapiens/VNM/34/2011","","",""
"EV71/Homo_sapiens/VNM/35/2011","","",""
"EV71/Homo_sapiens/VNM/36/2011","","",""
"EV71/Homo_sapiens/VNM/37/2011","","",""
"EV71/Homo_sapiens/VNM/38/2011","","",""
"EV71/Homo_sapiens/VNM/39/2011","","",""
"EV71/Homo_sapiens/VNM/4/2011","","",""
"EV71/Homo_sapiens/VNM/40/2011","","",""
"EV71/Homo_sapiens/VNM/41/2011","","",""
