accession	name	segment	date	host	country	abbreviation	virus	strain
AF376095	18F/AUS/6/99	N/A	N/A	Unknown	N/a	N/A	N/A	18F/AUS/6/99
AF376110	9F/AUS/6/99	N/A	N/A	Unknown	N/a	N/A	N/A	9F/AUS/6/99
AY055157	N1034-TW-00	N/A	N/A	Unknown	N/a	N/A	N/A	N1034-TW-00
AY207616	0473-MAA-97	N/A	N/A	Unknown	N/a	N/A	N/A	0473-MAA-97
AY207622	0948-MAA-00	N/A	N/A	Unknown	N/a	N/A	N/A	0948-MAA-00
AY207626	0389-MAA-00	N/A	N/A	Unknown	N/a	N/A	N/A	0389-MAA-00
AY207631	0557-MAA-98	N/A	N/A	Unknown	N/a	N/A	N/A	0557-MAA-98
AY207635	05716-MAA-00	N/A	N/A	Unknown	N/a	N/A	N/A	05716-MAA-00
AY207644	0897-MAA-97	N/A	N/A	Unknown	N/a	N/A	N/A	0897-MAA-97
AY258300	SB9522-SAR-03	N/A	N/A	Unknown	N/a	N/A	N/A	SB9522-SAR-03
AY547501	EV71-CQ03-1	N/A	N/A	Unknown	N/a	China	N/A	EV71-CQ03-1
AY697492	BAN01-10585	N/A	N/A	Unknown	N/a	N/A	N/A	BAN01-10585
AY722887	6887-SYD-86	N/A	N/A	Unknown	N/a	N/A	N/A	6887-SYD-86
AY722894	7870-SYD-86	N/A	N/A	Unknown	N/a	N/A	N/A	7870-SYD-86
AY940102	9906-SYD-01	N/A	N/A	Unknown	N/a	N/A	N/A	9906-SYD-01
AY940111	1232-SYD-96	N/A	N/A	Unknown	N/a	N/A	N/A	1232-SYD-96
DQ341354	3799-SIN-98	N/A	N/A	Unknown	N/a	Singapore	N/A	3799-SIN-98
AY258310	S19841-SAR-03	N/A	N/A	Unknown	N/a	N/A	N/A	S19841-SAR-03
DQ841963	E990005-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	E990005-TW
DQ841970	E200510989-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	E200510989-TW
DQ841975	E99216-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	E99216-TW
DQ841985	AFP2001474-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	AFP2001474-TW
DQ841987	AFP2001009-TW	N/A	N/A	Unknown	N/a	Taiwan	N/A	AFP2001009-TW
EU131717	N2735TW-04	N/A	N/A	Unknown	N/a	N/A	N/A	N2735TW-04
EU131723	N1862TW-05	N/A	N/A	Unknown	N/a	N/A	N/A	N1862TW-05
EU131739	236TW-86	N/A	N/A	Unknown	N/a	N/A	N/A	236TW-86
EU131740	N2838TW-03	N/A	N/A	Unknown	N/a	N/A	N/A	N2838TW-03
EU729116	Kor07-EV71-03cn	N/A	2007	Human	2007	South Korea	N/A	Kor07-EV71-03cn
EU729122	Kor07-EV71-11gj	N/A	2007	Human	2007	South Korea	N/A	Kor07-EV71-11gj
EU729123	Kor03-EV71-01kb	N/A	2003	Human	2003	South Korea	N/A	Kor03-EV71-01kb
EU910865	0715F/NM/CHN/07	N/A	2007-06	Human	2007-06	China	C4	0715F/NM/CHN/07
EU910866	0716F/NM/CHN/07	N/A	2007-06	Human	2007-06	China	C4	0716F/NM/CHN/07
EU999170	Zhuhai-JC467	N/A	2008-08	Human	2008-08	China	C4	Zhuhai-JC467
FJ357347	N2947-TW04	N/A	2004	Human	2004	Taiwan	N/A	N2947-TW04
FJ357348	N2873-TW05	N/A	2005	Human	2005	Taiwan	N/A	N2873-TW05
FJ357354	M0448-TW08	N/A	2008	Human	2008	Taiwan	N/A	M0448-TW08
FJ357359	N0561-TW08	N/A	2008	Human	2008	Taiwan	N/A	N0561-TW08
