seqName,errors,warnings,failedGenes
"NAN256_FRA08","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"STU543078_GER08","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"STU546711_GER08","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"STU41_DEU10","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"CF172048_FRA10","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"CF340072_FRA10","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"AMI198145_FRA13","","",""
"CF150006_FRA13","","",""
"CF275047_FRA13","","",""
"BJ110","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"BJ303","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"GD08-EV71-166","","",""
"Fuyang573","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"TS011/SD/CHN/2003","","",""
"08-8/HeN/CHN/2008","","",""
"08-2/JL/CHN/2008","","",""
"FY08-7/AH/CHN/2008","","",""
"EV0879/Bintulu/08","","",""
"04-ZJ-CHN-Z-10","","",""
"TW-2179-00","","",""
"TW-2188-00","","",""
"TW-2242-00","","",""
"TW-2784-00","","",""
"TW-3594-00","","",""
"TW-3857-00","","",""
"TW-3882-00","","",""
"TW-1652-01","","",""
"TW-3909-01","","",""
"TW-4173-01","","",""
"TW-1127-02","","",""
"TW-6367-02","","",""
"TW-1859-98","","",""
"TW-3074-98","","",""
"2805/Sin/2006","","",""
"KM186/09","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV054_07","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV090_07","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV082_07","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"501/SD/CHN/2010","","",""
"484/SD/CHN/2010","","",""
"611/SD/CHN/2010","","",""
"803/CQ/CHN/2010","","",""
"724/CQ/CHN/2010","","",""
"371/SD/CHN/2010","","",""
"701/CQ/CHN/2010","","",""
"157/CQ/CHN/2010","","",""
"686/CQ/CHN/2010","","",""
"784/CQ/CHN/2010","","",""
"835/CQ/CHN/2010","","",""
"540/CQ/CHN/2010","","",""
"671/CQ/CHN/2010","","",""
"698/CQ/CHN/2010","","",""
"620/SD/CHN/2010","","",""
"704/CQ/CHN/2010","","",""
"333/SD/CHN/2010","","",""
"392/SD/CHN/2010","","",""
"594/SD/CHN/2010","","",""
"367/SD/CHN/2010","","",""
"631/SD/CHN/2010","","",""
"1235/HN/CHN/2010","","",""
"386/SD/CHN/2010","","",""
"458/SD/CHN/2010","","",""
"1218/HN/CHN/2010","","",""
"1231/HN/CHN/2010","","",""
"1279/HN/CHN/2010","","",""
"HR01/ns/L/05","","",""
"JP04/Ac/A/01","","",""
"MY19/Sw/A/06","","",""
"MY23/Sw/A/06","","",""
"MY29/Sw/A/06","","",""
"FI03/ns/00/W","Unable to align: no seed matches","","<<ALL>>"
"FI16/Tk/02/W","Unable to align: no seed matches","","<<ALL>>"
"JP16/Ac/09/W","Unable to align: no seed matches","","<<ALL>>"
"JP32/Sd/10/W","Unable to align: no seed matches","","<<ALL>>"
"JP48/Sm/07/L","Unable to align: no seed matches","","<<ALL>>"
"MY35/Sa/06/A","Unable to align: no seed matches","","<<ALL>>"
"MY38/Sa/06/A","Unable to align: no seed matches","","<<ALL>>"
"MY47/Sa/08/A","Unable to align: no seed matches","","<<ALL>>"
"MY48/Sa/08/A","Unable to align: no seed matches","","<<ALL>>"
